row_id,CATEGORY_CODE,CATEGORY_NAME,ATTRIBUTE_NAME_1,ATTRIBUTE_VALUE_1,ATTRIBUTE_UOM_1,ATTRIBUTE_NAME_2,ATTRIBUTE_VALUE_2,ATTRIBUTE_UOM_2,ATTRIBUTE_NAME_3,ATTRIBUTE_VALUE_3,ATTRIBUTE_UOM_3,ATTRIBUTE_NAME_4,ATTRIBUTE_VALUE_4,ATTRIBUTE_UOM_4,ATTRIBUTE_NAME_5,ATTRIBUTE_VALUE_5,ATTRIBUTE_UOM_5,ATTRIBUTE_NAME_6,ATTRIBUTE_VALUE_6,ATTRIBUTE_UOM_6,ATTRIBUTE_NAME_7,ATTRIBUTE_VALUE_7,ATTRIBUTE_UOM_7,ATTRIBUTE_NAME_8,ATTRIBUTE_VALUE_8,ATTRIBUTE_UOM_8,ATTRIBUTE_NAME_9,ATTRIBUTE_VALUE_9,ATTRIBUTE_UOM_9,ATTRIBUTE_NAME_10,ATTRIBUTE_VALUE_10,ATTRIBUTE_UOM_10,ATTRIBUTE_NAME_11,ATTRIBUTE_VALUE_11,ATTRIBUTE_UOM_11,ATTRIBUTE_NAME_12,ATTRIBUTE_VALUE_12,ATTRIBUTE_UOM_12,ATTRIBUTE_NAME_13,ATTRIBUTE_VALUE_13,ATTRIBUTE_UOM_13,ATTRIBUTE_NAME_14,ATTRIBUTE_VALUE_14,ATTRIBUTE_UOM_14,ATTRIBUTE_NAME_15,ATTRIBUTE_VALUE_15,ATTRIBUTE_UOM_15,ATTRIBUTE_NAME_16,ATTRIBUTE_VALUE_16,ATTRIBUTE_UOM_16,ATTRIBUTE_NAME_17,ATTRIBUTE_VALUE_17,ATTRIBUTE_UOM_17,ATTRIBUTE_NAME_18,ATTRIBUTE_VALUE_18,ATTRIBUTE_UOM_18,ATTRIBUTE_NAME_19,ATTRIBUTE_VALUE_19,ATTRIBUTE_UOM_19,ATTRIBUTE_NAME_20,ATTRIBUTE_VALUE_20,ATTRIBUTE_UOM_20,ATTRIBUTE_NAME_21,ATTRIBUTE_VALUE_21,ATTRIBUTE_UOM_21,ATTRIBUTE_NAME_22,ATTRIBUTE_VALUE_22,ATTRIBUTE_UOM_22,ATTRIBUTE_NAME_23,ATTRIBUTE_VALUE_23,ATTRIBUTE_UOM_23,ATTRIBUTE_NAME_24,ATTRIBUTE_VALUE_24,ATTRIBUTE_UOM_24,ATTRIBUTE_NAME_25,ATTRIBUTE_VALUE_25,ATTRIBUTE_UOM_25,ATTRIBUTE_NAME_26,ATTRIBUTE_VALUE_26,ATTRIBUTE_UOM_26,ATTRIBUTE_NAME_27,ATTRIBUTE_VALUE_27,ATTRIBUTE_UOM_27,ATTRIBUTE_NAME_28,ATTRIBUTE_VALUE_28,ATTRIBUTE_UOM_28,ATTRIBUTE_NAME_29,ATTRIBUTE_VALUE_29,ATTRIBUTE_UOM_29,ATTRIBUTE_NAME_30,ATTRIBUTE_VALUE_30,ATTRIBUTE_UOM_30,ATTRIBUTE_NAME_31,ATTRIBUTE_VALUE_31,ATTRIBUTE_UOM_31,ATTRIBUTE_NAME_32,ATTRIBUTE_VALUE_32,ATTRIBUTE_UOM_32,ATTRIBUTE_NAME_33,ATTRIBUTE_VALUE_33,ATTRIBUTE_UOM_33,ATTRIBUTE_NAME_34,ATTRIBUTE_VALUE_34,ATTRIBUTE_UOM_34,ATTRIBUTE_NAME_35,ATTRIBUTE_VALUE_35,ATTRIBUTE_UOM_35,ATTRIBUTE_NAME_36,ATTRIBUTE_VALUE_36,ATTRIBUTE_UOM_36,ATTRIBUTE_NAME_37,ATTRIBUTE_VALUE_37,ATTRIBUTE_UOM_37,ATTRIBUTE_NAME_38,ATTRIBUTE_VALUE_38,ATTRIBUTE_UOM_38,ATTRIBUTE_NAME_39,ATTRIBUTE_VALUE_39,ATTRIBUTE_UOM_39,ATTRIBUTE_NAME_40,ATTRIBUTE_VALUE_40,ATTRIBUTE_UOM_40,ATTRIBUTE_NAME_41,ATTRIBUTE_VALUE_41,ATTRIBUTE_UOM_41,ATTRIBUTE_NAME_42,ATTRIBUTE_VALUE_42,ATTRIBUTE_UOM_42,ATTRIBUTE_NAME_43,ATTRIBUTE_VALUE_43,ATTRIBUTE_UOM_43,ATTRIBUTE_NAME_44,ATTRIBUTE_VALUE_44,ATTRIBUTE_UOM_44,ATTRIBUTE_NAME_45,ATTRIBUTE_VALUE_45,ATTRIBUTE_UOM_45,ATTRIBUTE_NAME_46,ATTRIBUTE_VALUE_46,ATTRIBUTE_UOM_46,ATTRIBUTE_NAME_47,ATTRIBUTE_VALUE_47,ATTRIBUTE_UOM_47,ATTRIBUTE_NAME_48,ATTRIBUTE_VALUE_48,ATTRIBUTE_UOM_48,ATTRIBUTE_NAME_49,ATTRIBUTE_VALUE_49,ATTRIBUTE_UOM_49,ATTRIBUTE_NAME_50,ATTRIBUTE_VALUE_50,ATTRIBUTE_UOM_50
[OGRWK26],[341811000000],[Area Lighting],[Type],[Type III Medium],,[Series],[DSX1],,[Voltage Rating],[480],[V],[Fixture Wattage],[163],[W],[Amperage Rating],[0.34],[A],[Lighting Technology],[nLight®],,[Lamp Type],[Static LED],,[Lamp Wattage],,,[Lamp Base Type],,,[Number of Lamps],[40],,[Light Output],[115],[Lumens/W],[Average Life],[100000],[hrs],[Light Color],,,[Color Temperature],[5000],[K],[Color Rendering Index (CRI)],[70],,[Shade Type],,,[Ballast Type],[0 to 10 V Dimmable],,[Lens Type],[Acrylic],,[Lumens],[18726],[Lumens],[Cord Type],,,[Insulation Type],,,[Enclosure Type],[IP66],,[Mounting Type],[Pole Mounted],,[Housing Material],[Die-Cast Aluminum],,[Housing Finish],[Dark Bronze],,[Dimensions],[7-1/2 in H x 13 in W x 33 in L],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
[1KP597N],[341811000000],[Area Lighting],[Type],[Commercial Outdoor],,[Series],[DSX1],,[Voltage Rating],[120 to 277],[V],[Fixture Wattage],[241],[W],[Amperage Rating],[2.01],[A],[Lighting Technology],[nLight®],,[Lamp Type],[Static LED],,[Lamp Wattage],,,[Lamp Base Type],,,[Number of Lamps],[60],,[Light Output],[113],[Lumens/W],[Average Life],[100000],[hrs],[Light Color],,,[Color Temperature],[5000],[K],[Color Rendering Index (CRI)],[70],,[Shade Type],,,[Ballast Type],[0 to 10 V Dimmable],,[Lens Type],[Acrylic],,[Lumens],[27339],[Lumens],[Cord Type],,,[Insulation Type],,,[Enclosure Type],[IP66],,[Mounting Type],[Pole Mounted],,[Housing Material],[Die-Cast Aluminum],,[Housing Finish],[Dark Bronze],,[Dimensions],[7-1/2 in H x 13 in W x 33 in L],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
[ON6N9DJ],[2515400000],[Vacuum Cleaner Bags & Filters],[Type],,,[Series],,,[Efficiency],,,[Size],,,[Suitable For Use With],,,[Material],,,[Color],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
[OYR6P4D],[2515400000],[Vacuum Cleaner Bags & Filters],[Type],,,[Series],,,[Efficiency],,,[Size],,,[Suitable For Use With],,,[Material],,,[Color],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
[O4R5VJP],[2515400000],[Vacuum Cleaner Bags & Filters],[Type],,,[Series],,,[Efficiency],,,[Size],,,[Suitable For Use With],,,[Material],,,[Color],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
[1LV3D20],[293633000000],[Vacuum Cleaner Wands],[Type],,,[Series],,,[Suitable For Use With],,,[Size],,,[Material],,,[Color],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
[ZX7XPKN],[341343000000],[LED Strip Lighting],[Type],[Strip Light],,[Series],[MNSS],,[Voltage Rating],[120 to 277],[V],[Fixture Wattage],,,[Amperage Rating],,,[Lighting Technology],,,[Lamp Type],[LED],,[Lamp Wattage],,,[Number of Lamps],,,[Light Output],,,[Average Life],[60000],[hr],[Light Color],,,[Color Temperature],[4000],[K],[Color Rendering Index (CRI)],[80],,[Lens Type],[Polycarbonate],,[Lumens],[11000],[Lumens],[Cord Type],,,[Insulation Type],,,[Enclosure Type],,,[Mounting Type],[Ceiling/Wall Mount],,[Housing Material],,,[Housing Finish],,,[Dimensions],[2.2 in H x 2.6 in W x 96 in L],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
[OYR6V96],[341343000000],[LED Strip Lighting],[Type],[Strip Light],,[Series],[RLNK],,[Voltage Rating],[120 to 277],[V],[Fixture Wattage],,,[Amperage Rating],,,[Lighting Technology],,,[Lamp Type],[LED],,[Lamp Wattage],,,[Number of Lamps],,,[Light Output],,,[Average Life],[54000],[hr],[Light Color],,,[Color Temperature],[3000],[K],[Color Rendering Index (CRI)],[80],,[Lens Type],[Acrylic],,[Lumens],[940],[Lumens],[Cord Type],,,[Insulation Type],,,[Enclosure Type],,,[Mounting Type],[Ceiling/Wall Mount],,[Housing Material],,,[Housing Finish],,,[Dimensions],[1.8 in H x 1.5 in W x 22.8 in L],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
[O4R5MK0],[341343000000],[LED Strip Lighting],[Type],[Strip Light],,[Series],[RLNK],,[Voltage Rating],[120 to 277],[V],[Fixture Wattage],,,[Amperage Rating],,,[Lighting Technology],,,[Lamp Type],[LED],,[Lamp Wattage],,,[Number of Lamps],,,[Light Output],,,[Average Life],[54000],[hr],[Light Color],,,[Color Temperature],[3500],[K],[Color Rendering Index (CRI)],[80],,[Lens Type],[Polycarbonate],,[Lumens],[1950],[Lumens],[Cord Type],,,[Insulation Type],,,[Enclosure Type],,,[Mounting Type],[Surface],,[Housing Material],,,[Housing Finish],,,[Dimensions],[1.8 in H x 48 in W x 48 in L],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
